captured_at,chart,period_start,period_end,weeks_on_chart,rank,last_week_rank,is_new_entry,song_no,title,artist,release_date
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,1,-,1,0,58828,看著我的眼睛說,張遠,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,2,-,2,0,58707,跳樓機,LBI利比,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,3,-,3,0,67060,擱淺,周杰倫,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,4,-,4,0,66844,倒帶,蔡依林,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,5,-,5,0,66606,淚橋,伍佰,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,6,↑,8,0,56384,離開我的依賴,王艷薇,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,7,-,7,0,45744,天后,陳勢安,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,8,↓,6,0,61536,痴心絕對,李聖傑,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,9,↑,16,0,54167,摯友,A-Lin,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,10,↓,9,0,40268,愛錯,王力宏,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,11,↑,12,0,42589,我懷念的,孫燕姿,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,12,新進,,1,41354,失戀無罪,A-Lin,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,13,↑,15,0,44474,妥協,蔡依林,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,14,↓,10,0,59145,太陽與地球,盧廣仲,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,15,↑,19,0,50616,連名帶姓,張惠妹(aMEI),
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,16,↓,11,0,53920,如果可以,韋禮安,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,17,↓,13,0,52161,慢冷,梁靜茹,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,18,↓,14,0,55545,字字句句,盧盧快閉嘴,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,19,↑,30,0,48102,特別的人,方大同,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,20,↓,18,0,66834,我是真的愛上你,王傑,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,21,↑,29,0,50122,家家酒,家家,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,22,↓,17,0,43235,日不落,蔡依林,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,23,↑,24,0,53726,嘉賓,張遠,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,24,↑,25,0,53613,我很好騙,動力火車,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,25,↓,21,0,54427,從前說,小阿七,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,26,↓,22,0,65926,十年,陳奕迅,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,27,↓,20,0,58163,愛情的大壞蛋,美秀集團,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,28,↓,26,0,41214,楓,周杰倫,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,29,↓,27,0,47304,修煉愛情,林俊傑,
2026-01-19,國語點播週榜,2026-01-06,2026-01-12,30,↓,23,0,54889,想和你看五月的晚霞,陳華 Hua Chen,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,1,-,1,0,17370,若無你我欲去佗位,黃奇斌,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,2,-,2,0,16112,必巡,曾瑋中,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,3,-,3,0,16821,運轉人生,邱軍,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,4,-,4,0,70292,人生的歌,黃乙玲,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,5,-,5,0,15942,愛情你比我想的閣較偉大,茄子蛋,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,6,-,6,0,16012,閣愛妳一擺,茄子蛋,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,7,-,7,0,15053,浪流連,茄子蛋,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,8,-,8,0,77833,雲中月圓,"王識賢, 孫淑媚",
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,9,-,9,0,74805,浪子回頭,茄子蛋,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,10,-,10,0,75565,夢中的情話,"江蕙, 阿杜",
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,11,↑,13,0,76176,愛到無命不知驚,王識賢,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,12,↓,11,0,16894,伊的身邊已經有別人 2023,"許富凱, 血肉果汁機",
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,13,↓,12,0,76150,愛情限時批,"伍佰, 萬芳",
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,14,-,14,0,71599,心裡有針,蕭煌奇,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,15,↑,16,0,77257,落雨聲,江蕙,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,16,↓,15,0,73640,作陣彼一暝,阿吉仔,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,17,-,17,0,75668,傷心酒店,"施文彬, 江蕙",
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,18,-,18,0,72710,上水的花,蕭煌奇,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,19,-,19,0,75951,無字的情批,黃乙玲,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,20,↑,21,0,77102,海波浪,黃乙玲,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,21,↑,28,0,15025,查某囡仔,李千那,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,22,↑,23,0,76058,追追追,黃妃,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,23,↓,22,0,72711,心花開,李千娜,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,24,↑,27,0,76124,家後,江蕙,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,25,↓,20,0,16743,我喜歡你,芒果醬 Mango Jump,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,26,新進,,1,76795,快樂鳥日子,康康,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,27,↑,29,0,76112,再會啦心愛的無緣的人,施文彬,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,28,↑,30,0,77135,愛到才知痛,黃乙玲,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,29,↓,26,0,74597,長途夜車,滅火器Fire EX.,
2026-01-19,台語點播週榜,2026-01-06,2026-01-12,30,↓,24,0,71724,三心兩意,"黃文星, 曾煜嘉",
